Gene,Protein,Cryptic?,Location,Notes,DOI
IGLON5,IGLON5,Y,Serum Evs,Found in 10 of 20 SALS patients,"Takahashi, K., Kato, C., Ueda, K. et al. Diagnostic potential of cryptic exon-derived peptides in serum extracellular vesicles for sporadic amyotrophic lateral sclerosis. Inflamm Regener 46, 8 (2026). https://doi.org/10.1186/s41232-026-00404-w"
FET,FET,N,,,
TARDBP,TDP-43,N,CSF/Blood/Plasma Evs,,"Zetterberg, H., Bendlin, B.B. Biofluid biomarkers in Alzheimer’s disease and other neurodegenerative dementias. Nature 650, 49–59 (2026). https://doi.org/10.1038/s41586-025-10018-w"
HDGFL2,HDGFL2,Y,Blood,"ALS-FTD, SALS","Irwin, K.E., Jasin, P., Braunstein, K.E. et al. A fluid biomarker reveals loss of TDP-43 splicing repression in presymptomatic ALS–FTD. Nat Med 30, 382–393 (2024). https://doi.org/10.1038/s41591-023-02788-5"
HDGFL2,HDGFL2,Y,CSF,"ALS-FTD, SALS","Irwin, K.E., Jasin, P., Braunstein, K.E. et al. A fluid biomarker reveals loss of TDP-43 splicing repression in presymptomatic ALS–FTD. Nat Med 30, 382–393 (2024). https://doi.org/10.1038/s41591-023-02788-5"
NEFL,NfL,N,Blood/CSF,"General neurodegeneration, prominent in ALS","Zetterberg, H., Bendlin, B.B. Biofluid biomarkers in Alzheimer’s disease and other neurodegenerative dementias. Nature 650, 49–59 (2026). https://doi.org/10.1038/s41586-025-10018-w"
MAPT,Tau,N,CSF,,"Honey, M.I.J., Hok-A-Hin, Y.S., Thijssen, E.H. et al. An acetylated Tau-174 CSF biomarker discriminates between TDP-43 and tau pathology in patients with frontotemporal lobar degeneration. Nat Med (2026). https://doi.org/10.1038/s41591-026-04341-6"
GFAP,GFAP,N,CSF (weak signal in blood),General indicator of neuroinflammation and microglial reactivity,"Zetterberg, H., Bendlin, B.B. Biofluid biomarkers in Alzheimer’s disease and other neurodegenerative dementias. Nature 650, 49–59 (2026). https://doi.org/10.1038/s41586-025-10018-w"
TREM1,TREM1,N,CSF (weak signal in blood),General indicator of neuroinflammation and microglial reactivity,"Zetterberg, H., Bendlin, B.B. Biofluid biomarkers in Alzheimer’s disease and other neurodegenerative dementias. Nature 650, 49–59 (2026). https://doi.org/10.1038/s41586-025-10018-w"
FABP3,FABP3,N,CSF (weak signal in blood),General indicator of neuroinflammation and microglial reactivity,"Zetterberg, H., Bendlin, B.B. Biofluid biomarkers in Alzheimer’s disease and other neurodegenerative dementias. Nature 650, 49–59 (2026). https://doi.org/10.1038/s41586-025-10018-w"
S100A12,S100A12,N,CSF (weak signal in blood),General indicator of neuroinflammation and microglial reactivity,"Zetterberg, H., Bendlin, B.B. Biofluid biomarkers in Alzheimer’s disease and other neurodegenerative dementias. Nature 650, 49–59 (2026). https://doi.org/10.1038/s41586-025-10018-w"
NRGN,Neurgranin,N,CSF,Specific for AD,"Zetterberg, H., Bendlin, B.B. Biofluid biomarkers in Alzheimer’s disease and other neurodegenerative dementias. Nature 650, 49–59 (2026). https://doi.org/10.1038/s41586-025-10018-w"
SNAP25,SNAP-25,N,CSF,Specific for AD,"Zetterberg, H., Bendlin, B.B. Biofluid biomarkers in Alzheimer’s disease and other neurodegenerative dementias. Nature 650, 49–59 (2026). https://doi.org/10.1038/s41586-025-10018-w"
NPTX2,NPTX2,N,CSF,Specifically decreased in AD,"Zetterberg, H., Bendlin, B.B. Biofluid biomarkers in Alzheimer’s disease and other neurodegenerative dementias. Nature 650, 49–59 (2026). https://doi.org/10.1038/s41586-025-10018-w"
MAPT,Tau,N,Plasma Evs,ALS-FTD,"Chatterjee, M., Özdemir, S., Fritz, C. et al. Plasma extracellular vesicle tau and TDP-43 as diagnostic biomarkers in FTD and ALS. Nat Med 30, 1771–1783 (2024). https://doi.org/10.1038/s41591-024-02937-4"
EWSR1,EWS,,CSF,FTD,"Sogorb-Esteve, A., Nilsson, J., Swift, I.J. et al. Differential impairment of cerebrospinal fluid synaptic biomarkers in the genetic forms of frontotemporal dementia. Alz Res Therapy 14, 118 (2022). https://doi.org/10.1186/s13195-022-01042-3"
TAF15,TAF15,,CSF,FTD,"Sogorb-Esteve, A., Nilsson, J., Swift, I.J. et al. Differential impairment of cerebrospinal fluid synaptic biomarkers in the genetic forms of frontotemporal dementia. Alz Res Therapy 14, 118 (2022). https://doi.org/10.1186/s13195-022-01042-3"
SNCB,Beta-synuclein,,CSF,FTD with MAPT mutation,"Sogorb-Esteve, A., Nilsson, J., Swift, I.J. et al. Differential impairment of cerebrospinal fluid synaptic biomarkers in the genetic forms of frontotemporal dementia. Alz Res Therapy 14, 118 (2022). https://doi.org/10.1186/s13195-022-01042-3"
SNCG,Gamma-synuclein,,CSF,FTD with MAPT mutation,"Sogorb-Esteve, A., Nilsson, J., Swift, I.J. et al. Differential impairment of cerebrospinal fluid synaptic biomarkers in the genetic forms of frontotemporal dementia. Alz Res Therapy 14, 118 (2022). https://doi.org/10.1186/s13195-022-01042-3"
YWHAH,14-3-3 eta; modulates neurotransmission and known biomarker for CJD,,CSF,FTD with MAPT mutation,"Sogorb-Esteve, A., Nilsson, J., Swift, I.J. et al. Differential impairment of cerebrospinal fluid synaptic biomarkers in the genetic forms of frontotemporal dementia. Alz Res Therapy 14, 118 (2022). https://doi.org/10.1186/s13195-022-01042-3"
NRGN,Neurgranin,,CSF,FTD with MAPT mutation,"Sogorb-Esteve, A., Nilsson, J., Swift, I.J. et al. Differential impairment of cerebrospinal fluid synaptic biomarkers in the genetic forms of frontotemporal dementia. Alz Res Therapy 14, 118 (2022). https://doi.org/10.1186/s13195-022-01042-3"
